almacenamiento,imagen,nombre,precio,ram,sistemaOperativo,url
128,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_73342444/fee_325_225_png/M%C3%B3vil---Xiaomi-Redmi-Note-8-Pro--Azul--128-GB--6-GB-RAM--6.53%22-Full-HD---Helio-G90T--4500-mAh--Android, Móvil - Xiaomi Redmi Note 8 Pro,249,6,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-xiaomi-redmi-note-8-pro-azul-128-gb-6-gb-ram-6-53-full-hd-helio-g90t-4500-mah-android-1469588.html
128,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_72572866/fee_325_225_png/M%C3%B3vil---Samsung-Galaxy-A71--Negro--128-GB--6-GB-RAM--6.7%22-Full-HD---SDM730--4500-mAh--Android, Móvil - Samsung Galaxy A71,449,6,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-samsung-galaxy-a71-negro-128-gb-6-gb-ram-6-7-full-hd-sdm730-4500-mah-android-1471294.html
128,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71266123/fee_325_225_png/M%C3%B3vil---realme-X2--Azul--128-GB--8-GB-RAM--6.4%22-Full-HD---Snapdragon-730G--4000-mAh--Android, Móvil - realme X2,282,8,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-realme-x2-azul-128-gb-8-gb-ram-6-4-full-hd-snapdragon-730g-4000-mah-android-1470451.html
32,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-81726338/fee_325_225_png/M%C3%B3vil---Huawei-Y6-%282019%29--Marr%C3%B3n--32-GB--2-GB-RAM--6.09%22--MediaTek--3020-mAh--Android, Móvil - Huawei Y6 (2019),109,2,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-huawei-y6-2019-marr%C3%B3n-32-gb-2-gb-ram-6-09-mediatek-3020-mah-android-1453720.html
128,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71266054/fee_325_225_png/M%C3%B3vil---realme-5-Pro--Verde--128-GB--8-GB-RAM--6.3%22-Full-HD---Snapdragon-712--4035-mAh--Android, Móvil - realme 5 Pro,219,8,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-realme-5-pro-verde-128-gb-8-gb-ram-6-3-full-hd-snapdragon-712-4035-mah-android-1470446.html
256,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-81567498/fee_325_225_png/M%C3%B3vil---Huawei-P30-Pro--Azul--256-GB--8-GB-RAM--6.47%22-Full-HD---Kirin-980--4200-mAh--Android, Móvil - Huawei P30 Pro,749,8,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-huawei-p30-pro-azul-256-gb-8-gb-ram-6-47-full-hd-kirin-980-4200-mah-android-1448889.html
128,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71144693/fee_325_225_png/M%C3%B3vil---Xiaomi-Mi-9--Azul--128-GB--6-GB-RAM--6.4%22-Full-HD---Snapdragon-855--3300-mAh--Android, Móvil - Xiaomi Mi 9,,6,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-xiaomi-mi-9-azul-128-gb-6-gb-ram-6-4-full-hd-snapdragon-855-3300-mah-android-1447026.html
256,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-81987890/fee_325_225_png/M%C3%B3vil---Samsung-Galaxy-Note-10----Negro--256-GB--12-GB-RAM--6.8%22-WQHD---Exynos-9825--4300-mAh--Android, Móvil - Samsung Galaxy Note 10 +,999,1,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-samsung-galaxy-note-10-negro-256-gb-12-gb-ram-6-8-wqhd-exynos-9825-4300-mah-android-1461509.html
Sí,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_73687639/fee_325_225_png/M%C3%B3vil---Huawei-P40-LITE-4G--Negro--128-GB--6-GB--6.4-%22-Full-HD---Kirin-810--4200-mAh--Android, Móvil - Huawei P40 LITE 4G,299,2,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-huawei-p40-lite-4g-negro-128-gb-6-gb-6-4-full-hd-kirin-810-4200-mah-android-1474674.html
128,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71160598/fee_325_225_png/M%C3%B3vil---Xiaomi-Redmi-Note-8-Pro--Blanco--128-GB--6-GB-RAM--6.53%22-Full-HD---Helio-G90T--4500-mAh--Android, Móvil - Xiaomi Redmi Note 8 Pro,249,6,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-xiaomi-redmi-note-8-pro-blanco-128-gb-6-gb-ram-6-53-full-hd-helio-g90t-4500-mah-android-1469587.html
