#
imagen;https://www.worten.es//i/c3679f593b45fda3f18921542bb922b7038728f4.jpg
nombre;Smartphone XIAOMI Redmi Note 8 Pro (6.53'' - 6 GB - 128 GB - Verde)
precio;249,99
Sistema operativo;Android
Versión del sistema operativo;9
Procesador;Helio G90T
Núcleos;Octa-Core
Velocidad del procesador;2 x A76 + 6 x A55
Tarjetas;SIM1 + SIM2 o SD
Radio;Sí
Diagonal de la pantalla;6.53
Tecnología de la pantalla;LTPS
Resolución de la pantalla;Full HD+
Tipo de red;4G
Bluetooth;Sí
Función GPS;Sí
Número de cámaras traseras;4
Número de cámaras frontales;1
Resolución de la cámara trasera;64 +8+2+2 MP
Resolución de la cámara frontal;20 MP
Flash integrado;Sí
Grabación de vídeo;4K @30fps
Sensores;Giroscopio | Acelerómetro | Sensor de distancia | Brújula electrónica | Sensor de luz ambiente | Motor vibrador | Infrarrojos | NFC
Sensor de huellas dactilares;Sí
Inteligencia artificial;Sí
Reconocimiento facial;Sí
Referencia;7030234
EAN;6941059629658
Marca;XIAOMI
Modelo;Redmi Note 8 Pro
Garantía;2 años
Color;Verde
Peso;199 g
Altura;16.1
Ancho;7.6
Profundidad;0.88
RAM;6 GB
Memoria interna;128 GB
Memoria externa;até 128GB
Potencia de la batería;4500 mAh
Entrada del cargador;USB-C
Contenido extra incluido en la caja;Cable USB Type C, Cargador
Más información;MIUI 10
url;https://www.worten.es/productos/moviles-smartphones/smartphones/smartphone-xiaomi-redmi-note-8-pro-6-53-6-gb-128-gb-verde-7030234
#
imagen;https://www.worten.es//i/9c7906898c8fbe7b5c84490dba5194586b9f8711.jpg
nombre;Smartphone XIAOMI Redmi Note 8 Pro (6.53'' - 6 GB - 128 GB - Azul)
precio;249,99
Sistema operativo;Android
Versión del sistema operativo;9
Procesador;Helio G90T
Núcleos;Octa-Core
Velocidad del procesador;2 x A76 + 6 x A55
Tarjetas;SIM1 + SIM2 o SD
Radio;Sí
Diagonal de la pantalla;6.53
Tecnología de la pantalla;LTPS
Resolución de la pantalla;Full HD+
Tipo de red;4G
Bluetooth;Sí
Función GPS;Sí
Número de cámaras traseras;4
Número de cámaras frontales;1
Resolución de la cámara trasera;64 +8+2+2 MP
Resolución de la cámara frontal;20 MP
Flash integrado;Sí
Grabación de vídeo;4K @30fps
Sensores;Giroscopio | Acelerómetro | Sensor de distancia | Brújula electrónica | Sensor de luz ambiente | Motor vibrador | Infrarrojos
Sensor de huellas dactilares;Sí
Inteligencia artificial;Sí
Reconocimiento facial;Sí
Referencia;7030238
EAN;6941059633686
Marca;XIAOMI
Modelo;Redmi Note 8 Pro
Garantía;2 años
Color;Azul
Peso;199 g
Altura;16.1
Ancho;7.6
Profundidad;0.88
RAM;6 GB
Memoria interna;128 GB
Memoria externa;hasta 128GB
Potencia de la batería;4500 mAh
Entrada del cargador;USB-C
Contenido extra incluido en la caja;Cable USB Type C, Cargador
Más información;MIUI 10
url;https://www.worten.es/productos/moviles-smartphones/smartphones/smartphone-xiaomi-redmi-note-8-pro-6-53-6-gb-128-gb-azul-7030238
#
imagen;https://www.worten.es//i/3b112938c7787072ac645213768ff9d8ab164e46.jpg
nombre;Smartphone SAMSUNG Galaxy A40 (5.9'' - 4 GB - 64 GB - negro)
precio;219,99
Sistema operativo;Android
Versión del sistema operativo;9
Procesador;Exynos7904
Núcleos;Octa-Core
Velocidad del procesador;1.8 + 1.6 GHz
Tarjetas;SIM1 + SIM2 + SD
Radio;No
Diagonal de la pantalla;5.9
Tecnología de la pantalla;Super Amoled
Resolución de la pantalla;Full HD+
